canonical_family,criterion_id,coder_id,rating,evidence_url,evidence_locator,evidence_note
LoT-insts,dependability,primary,partial,https://arxiv.org/abs/2302.09509,Sections 3--4 and Appendix B,"Results are separated by test subset, but uncertainty across samples or runs is not reported consistently."
LoT-insts,governance,primary,partial,https://arxiv.org/abs/2302.09509,Sections 3--4 and Appendix B,"The paper documents Microsoft Academic Graph provenance and releases data, but does not give a complete license or privacy analysis."
LoT-insts,duplicates,primary,yes,https://arxiv.org/abs/2302.09509,Sections 3--4 and Appendix B,A graph-based filtering procedure removes redundant name variants before partitioning.
AG News,claim_population,primary,partial,https://arxiv.org/abs/1509.01626,"Section 4, AG's news corpus","The source covers more than 2,000 news sources, but the benchmark balances four selected categories rather than naming a target distribution."
AG News,claim_construct,primary,partial,https://arxiv.org/abs/1509.01626,"Section 4, AG's news corpus","Four source categories are used, but their meanings and boundaries are not defined."
AG News,claim_use,primary,partial,https://arxiv.org/abs/1509.01626,"Section 4, AG's news corpus",The dataset is built to compare text classifiers at scale; no downstream decision is specified.
AG News,claim_metric,primary,not_found,https://arxiv.org/abs/1509.01626,"Section 4, AG's news corpus","The reviewed sources report a metric without linking it to the intended use, class distribution, or error costs."
AG News,coverage_frame,primary,yes,https://arxiv.org/abs/1509.01626,"Section 4, AG's news corpus","The source corpus, chosen fields, four largest categories, and per-class sample sizes are stated."
AG News,coverage_blueprint,primary,partial,https://arxiv.org/abs/1509.01626,"Section 4, AG's news corpus","Class balance is fixed, but no topic, source, time, or difficulty blueprint is supplied."
AG News,labels_process,primary,partial,https://arxiv.org/abs/1509.01626,"Section 4, AG's news corpus",Labels are inherited from the categorized AG corpus; their original production is not documented here.
AG News,labels_reliability,primary,not_found,https://arxiv.org/abs/1509.01626,"Section 4, AG's news corpus",The reviewed sources do not report label repeatability or inter-rater agreement.
AG News,labels_validity,primary,not_found,https://arxiv.org/abs/1509.01626,"Section 4, AG's news corpus",The reviewed sources do not report evidence that the labels represent the intended construct.
AG News,designed_cases,primary,not_found,https://arxiv.org/abs/1509.01626,"Section 4, AG's news corpus",The reviewed sources do not identify designed or stratified cases tied to named requirements.
AG News,designed_pairs,primary,not_found,https://arxiv.org/abs/1509.01626,"Section 4, AG's news corpus",The reviewed sources do not include controlled input pairs with a prespecified expected response.
AG News,dependability,primary,not_found,https://arxiv.org/abs/1509.01626,"Section 4, AG's news corpus","The reviewed sources do not quantify score variation across relevant samples, tasks, raters, runs, or settings."
AG News,governance,primary,partial,https://arxiv.org/abs/1509.01626,"Section 4, AG's news corpus","The source corpus is named and linked, but permission, license, and privacy conditions are not discussed."
AG News,duplicates,primary,not_found,https://arxiv.org/abs/1509.01626,"Section 4, AG's news corpus","The reviewed sources do not report a duplicate, related-entity, or train--test dependence audit."
DBpedia,claim_population,primary,partial,https://arxiv.org/abs/1509.01626,"Section 4, DBpedia ontology dataset","The source is DBpedia 2014, but equal sampling from 14 chosen classes does not represent a stated population."
DBpedia,claim_construct,primary,yes,https://arxiv.org/abs/1509.01626,"Section 4, DBpedia ontology dataset",The outcome is membership in one of 14 non-overlapping DBpedia ontology classes.
DBpedia,claim_use,primary,partial,https://arxiv.org/abs/1509.01626,"Section 4, DBpedia ontology dataset",The dataset is built to compare large-scale text classifiers rather than support a stated real-world decision.
DBpedia,claim_metric,primary,not_found,https://arxiv.org/abs/1509.01626,"Section 4, DBpedia ontology dataset","The reviewed sources report a metric without linking it to the intended use, class distribution, or error costs."
DBpedia,coverage_frame,primary,yes,https://arxiv.org/abs/1509.01626,"Section 4, DBpedia ontology dataset","The ontology version, class selection, title and abstract fields, and random per-class sample sizes are stated."
DBpedia,coverage_blueprint,primary,partial,https://arxiv.org/abs/1509.01626,"Section 4, DBpedia ontology dataset","Non-overlapping classes and balance are design constraints, but no construct-wide coverage rule is given."
DBpedia,labels_process,primary,partial,https://arxiv.org/abs/1509.01626,"Section 4, DBpedia ontology dataset",Labels are inherited from DBpedia ontology classes; the benchmark paper does not document their production.
DBpedia,labels_reliability,primary,not_found,https://arxiv.org/abs/1509.01626,"Section 4, DBpedia ontology dataset",The reviewed sources do not report label repeatability or inter-rater agreement.
DBpedia,labels_validity,primary,partial,https://arxiv.org/abs/1509.01626,"Section 4, DBpedia ontology dataset","Using non-overlapping ontology classes supports distinctness, but no label-validation study is reported."
DBpedia,designed_cases,primary,not_found,https://arxiv.org/abs/1509.01626,"Section 4, DBpedia ontology dataset",The reviewed sources do not identify designed or stratified cases tied to named requirements.
DBpedia,designed_pairs,primary,not_found,https://arxiv.org/abs/1509.01626,"Section 4, DBpedia ontology dataset",The reviewed sources do not include controlled input pairs with a prespecified expected response.
DBpedia,dependability,primary,not_found,https://arxiv.org/abs/1509.01626,"Section 4, DBpedia ontology dataset","The reviewed sources do not quantify score variation across relevant samples, tasks, raters, runs, or settings."
DBpedia,governance,primary,partial,https://arxiv.org/abs/1509.01626,"Section 4, DBpedia ontology dataset","DBpedia provenance is identified, but the benchmark paper does not state data-use or licensing conditions."
DBpedia,duplicates,primary,not_found,https://arxiv.org/abs/1509.01626,"Section 4, DBpedia ontology dataset","The reviewed sources do not report a duplicate, related-entity, or train--test dependence audit."
BANKING77,claim_population,primary,not_found,https://aclanthology.org/2020.nlp4convai-1.5/,Sections 3--5,The reviewed sources do not state a target population for the reported benchmark score.
BANKING77,claim_construct,primary,partial,https://aclanthology.org/2020.nlp4convai-1.5/,Sections 3--5,"The benchmark names 77 fine-grained banking intents and gives examples, but no category codebook is presented."
BANKING77,claim_use,primary,yes,https://aclanthology.org/2020.nlp4convai-1.5/,Sections 3--5,"It is explicitly motivated by commercial, single-domain intent detection and low-data development."
BANKING77,claim_metric,primary,partial,https://aclanthology.org/2020.nlp4convai-1.5/,Sections 3--5,"Accuracy is the main metric and few-shot subsets are balanced, but error costs across intents are not discussed."
BANKING77,coverage_frame,primary,not_found,https://aclanthology.org/2020.nlp4convai-1.5/,Sections 3--5,"The reviewed sources do not recover the complete source frame, selection rule, and evaluation split."
BANKING77,coverage_blueprint,primary,partial,https://aclanthology.org/2020.nlp4convai-1.5/,Sections 3--5,"The design seeks fine-grained coverage in one domain, but gives no denominator for banking-service intents."
BANKING77,labels_process,primary,not_found,https://aclanthology.org/2020.nlp4convai-1.5/,Sections 3--5,The reviewed sources do not document how labels were produced or adjudicated.
BANKING77,labels_reliability,primary,not_found,https://aclanthology.org/2020.nlp4convai-1.5/,Sections 3--5,The reviewed sources do not report label repeatability or inter-rater agreement.
BANKING77,labels_validity,primary,partial,https://aclanthology.org/2020.nlp4convai-1.5/,Sections 3--5,"The paper argues that overlapping, fine-grained intents make the task realistic, but provides no external validation."
BANKING77,designed_cases,primary,yes,https://aclanthology.org/2020.nlp4convai-1.5/,Sections 3--5,The benchmark deliberately includes 77 close intents and fixed 10- and 30-example few-shot conditions.
BANKING77,designed_pairs,primary,not_found,https://aclanthology.org/2020.nlp4convai-1.5/,Sections 3--5,The reviewed sources do not include controlled input pairs with a prespecified expected response.
BANKING77,dependability,primary,yes,https://aclanthology.org/2020.nlp4convai-1.5/,Sections 3--5,The study varies hyperparameter regimes and reports that the dual-encoder classifiers are stable across them.
BANKING77,governance,primary,partial,https://aclanthology.org/2020.nlp4convai-1.5/,Sections 3--5,"Data and code are released and provenance is named only generally; collection rights, privacy, and license are not fully documented."
BANKING77,duplicates,primary,not_found,https://aclanthology.org/2020.nlp4convai-1.5/,Sections 3--5,"The reviewed sources do not report a duplicate, related-entity, or train--test dependence audit."
MRPC (GLUE),claim_population,primary,partial,https://aclanthology.org/I05-5002/,Sections 3--5,"The corpus comes from web news over two years, but heuristic and classifier filtering define the evaluated mixture."
MRPC (GLUE),claim_construct,primary,yes,https://aclanthology.org/I05-5002/,Sections 3--5,The paper defines a deliberately loose semantic-equivalence construct and discusses how it differs from bidirectional entailment.
MRPC (GLUE),claim_use,primary,yes,https://aclanthology.org/I05-5002/,Sections 3--5,The corpus is released for training and evaluating paraphrase and sentential-equivalence systems.
MRPC (GLUE),claim_metric,primary,not_found,https://aclanthology.org/I05-5002/,Sections 3--5,"The reviewed sources report a metric without linking it to the intended use, class distribution, or error costs."
MRPC (GLUE),coverage_frame,primary,yes,https://aclanthology.org/I05-5002/,Sections 3--5,"The 13-million-pair source, candidate heuristics, classifier filter, random final selection, and human evaluation are documented."
MRPC (GLUE),coverage_blueprint,primary,partial,https://aclanthology.org/I05-5002/,Sections 3--5,"Heuristics seek lexical diversity and nontrivial differences, but there is no exhaustive linguistic blueprint."
MRPC (GLUE),labels_process,primary,yes,https://aclanthology.org/I05-5002/,Sections 3--5,Two independent judges label each pair and a third resolves disagreement by majority vote.
MRPC (GLUE),labels_reliability,primary,yes,https://aclanthology.org/I05-5002/,Sections 3--5,The paper reports 84 percent agreement and kappa of 0.62.
MRPC (GLUE),labels_validity,primary,partial,https://aclanthology.org/I05-5002/,Sections 3--5,"The paper examines semantic divergence and rival definitions, but does not validate against an external measure."
MRPC (GLUE),designed_cases,primary,yes,https://aclanthology.org/I05-5002/,Sections 3--5,Candidate construction deliberately favors plausible paraphrases and near-miss negatives while removing trivial variants.
MRPC (GLUE),designed_pairs,primary,not_found,https://aclanthology.org/I05-5002/,Sections 3--5,The reviewed sources do not include controlled input pairs with a prespecified expected response.
MRPC (GLUE),dependability,primary,partial,https://aclanthology.org/I05-5002/,Sections 3--5,"Rater variation is measured, but uncertainty in benchmark model scores is not."
MRPC (GLUE),governance,primary,partial,https://aclanthology.org/I05-5002/,Sections 3--5,The paper discusses author identification and source constraints; a complete dataset license is not stated.
MRPC (GLUE),duplicates,primary,yes,https://aclanthology.org/I05-5002/,Sections 3--5,Selection rules limit trivial editorial variants and seek source diversity before annotation.
ADE Corpus,claim_population,primary,partial,https://doi.org/10.1186/2041-1480-3-15,Methods: Corpus preparation; Results,"The source is 2,972 MEDLINE case reports, but the score is not tied to a defined population of reports or adverse events."
ADE Corpus,claim_construct,primary,yes,https://doi.org/10.1186/2041-1480-3-15,Methods: Corpus preparation; Results,"Drug, condition, and clear adverse-event relations are defined through an annotation ontology."
ADE Corpus,claim_use,primary,yes,https://doi.org/10.1186/2041-1480-3-15,Methods: Corpus preparation; Results,The corpus supports extraction of potential adverse events for pharmacovigilance research.
ADE Corpus,claim_metric,primary,partial,https://doi.org/10.1186/2041-1480-3-15,Methods: Corpus preparation; Results,"F-score on true relations is justified by the focused positive relation class, but application error costs are not stated."
ADE Corpus,coverage_frame,primary,yes,https://doi.org/10.1186/2041-1480-3-15,Methods: Corpus preparation; Results,"The number and type of MEDLINE reports, annotation scope, exclusions, and train/test construction are documented."
ADE Corpus,coverage_blueprint,primary,partial,https://doi.org/10.1186/2041-1480-3-15,Methods: Corpus preparation; Results,"The ontology organizes entity and relation content, but no sampling coverage denominator is supplied."
ADE Corpus,labels_process,primary,yes,https://doi.org/10.1186/2041-1480-3-15,Methods: Corpus preparation; Results,Reports are annotated in duplicate and harmonized by three annotators under ontology-based guidelines.
ADE Corpus,labels_reliability,primary,partial,https://doi.org/10.1186/2041-1480-3-15,Methods: Corpus preparation; Results,"Duplicate annotation and harmonization are documented, but no agreement coefficient is reported in the reviewed source."
ADE Corpus,labels_validity,primary,yes,https://doi.org/10.1186/2041-1480-3-15,Methods: Corpus preparation; Results,"The ontology is mapped to OAE, errors are inspected, and extracted events are compared with SIDER and product information."
ADE Corpus,designed_cases,primary,partial,https://doi.org/10.1186/2041-1480-3-15,Methods: Corpus preparation; Results,"Automatically generated false relations and an independent test set create targeted evaluation cases, without controlled pairs."
ADE Corpus,designed_pairs,primary,not_found,https://doi.org/10.1186/2041-1480-3-15,Methods: Corpus preparation; Results,The reviewed sources do not include controlled input pairs with a prespecified expected response.
ADE Corpus,dependability,primary,yes,https://doi.org/10.1186/2041-1480-3-15,Methods: Corpus preparation; Results,"The study uses cross-validation, an independent test set, training-size subsets, and reported standard deviations."
ADE Corpus,governance,primary,partial,https://doi.org/10.1186/2041-1480-3-15,Methods: Corpus preparation; Results,"The article is openly licensed and uses published MEDLINE case reports, but corpus-specific reuse conditions are not fully described."
ADE Corpus,duplicates,primary,partial,https://doi.org/10.1186/2041-1480-3-15,Methods: Corpus preparation; Results,Nested relations are removed for the experiment; broader document or entity dependence is not assessed.
RTE (GLUE),claim_population,primary,not_found,https://aclanthology.org/W18-5446/,Benchmark and Diagnostic Dataset sections,The reviewed sources do not state a target population for the reported benchmark score.
RTE (GLUE),claim_construct,primary,yes,https://aclanthology.org/W18-5446/,Benchmark and Diagnostic Dataset sections,RTE is identified as a binary natural-language-inference task within GLUE.
RTE (GLUE),claim_use,primary,yes,https://aclanthology.org/W18-5446/,Benchmark and Diagnostic Dataset sections,"GLUE is intended to evaluate transferable, generalizable language understanding across tasks."
RTE (GLUE),claim_metric,primary,not_found,https://aclanthology.org/W18-5446/,Benchmark and Diagnostic Dataset sections,"The reviewed sources report a metric without linking it to the intended use, class distribution, or error costs."
RTE (GLUE),coverage_frame,primary,partial,https://aclanthology.org/W18-5446/,Benchmark and Diagnostic Dataset sections,"RTE aggregates prior challenge datasets, but GLUE does not reproduce their item-selection and annotation procedures."
RTE (GLUE),coverage_blueprint,primary,partial,https://aclanthology.org/W18-5446/,Benchmark and Diagnostic Dataset sections,"GLUE spans tasks and domains and supplies a diagnostic taxonomy, but the RTE score has no separate coverage denominator."
RTE (GLUE),labels_process,primary,partial,https://aclanthology.org/W18-5446/,Benchmark and Diagnostic Dataset sections,The benchmark identifies the source challenges but does not restate their labeling instructions or adjudication.
RTE (GLUE),labels_reliability,primary,not_found,https://aclanthology.org/W18-5446/,Benchmark and Diagnostic Dataset sections,The reviewed sources do not report label repeatability or inter-rater agreement.
RTE (GLUE),labels_validity,primary,partial,https://aclanthology.org/W18-5446/,Benchmark and Diagnostic Dataset sections,Six NLP researchers validate a random sample of the separate diagnostic set; this does not directly validate RTE labels.
RTE (GLUE),designed_cases,primary,yes,https://aclanthology.org/W18-5446/,Benchmark and Diagnostic Dataset sections,GLUE includes 550 expert-constructed diagnostic examples tagged for four broad linguistic-phenomenon groups.
RTE (GLUE),designed_pairs,primary,partial,https://aclanthology.org/W18-5446/,Benchmark and Diagnostic Dataset sections,"Diagnostic sentence pairs have expected NLI relations, but they are not generally controlled edits of common base cases."
RTE (GLUE),dependability,primary,partial,https://aclanthology.org/W18-5446/,Benchmark and Diagnostic Dataset sections,"Performance is compared across tasks and diagnostics, but score uncertainty across samples or runs is not reported."
RTE (GLUE),governance,primary,partial,https://aclanthology.org/W18-5446/,Benchmark and Diagnostic Dataset sections,Private test data and source datasets are described; consolidated license and privacy conditions are not.
RTE (GLUE),duplicates,primary,not_found,https://aclanthology.org/W18-5446/,Benchmark and Diagnostic Dataset sections,"The reviewed sources do not report a duplicate, related-entity, or train--test dependence audit."
MuLD Character Type,claim_population,primary,partial,https://aclanthology.org/2022.lrec-1.392/,"Section 3, especially Movie Character Types","The task uses long movie scripts matched to plot summaries, but no population of movies or characters is defined."
MuLD Character Type,claim_construct,primary,yes,https://aclanthology.org/2022.lrec-1.392/,"Section 3, especially Movie Character Types",The task predicts named character archetypes using a prior character-type framework.
MuLD Character Type,claim_use,primary,yes,https://aclanthology.org/2022.lrec-1.392/,"Section 3, especially Movie Character Types","MuLD is designed to test whether models use dependencies in documents exceeding 10,000 tokens."
MuLD Character Type,claim_metric,primary,partial,https://aclanthology.org/2022.lrec-1.392/,"Section 3, especially Movie Character Types","F1 is reported for character types, but the metric is not tied to a use or error cost."
MuLD Character Type,coverage_frame,primary,partial,https://aclanthology.org/2022.lrec-1.392/,"Section 3, especially Movie Character Types","Sources, matching, and length constraints are described, but the movie selection frame is not enumerated."
MuLD Character Type,coverage_blueprint,primary,yes,https://aclanthology.org/2022.lrec-1.392/,"Section 3, especially Movie Character Types","Six tasks are chosen under explicit desiderata spanning domains, formulations, and required long-range context."
MuLD Character Type,labels_process,primary,yes,https://aclanthology.org/2022.lrec-1.392/,"Section 3, especially Movie Character Types",Amazon Mechanical Turk annotators receive type descriptions; multiple labels and manual matching are documented.
MuLD Character Type,labels_reliability,primary,partial,https://aclanthology.org/2022.lrec-1.392/,"Section 3, especially Movie Character Types","Multiple annotators are used and high-disagreement classes are removed, but no agreement statistic is reported."
MuLD Character Type,labels_validity,primary,partial,https://aclanthology.org/2022.lrec-1.392/,"Section 3, especially Movie Character Types","The task follows an existing archetype framework and uses disagreement diagnostically, but lacks independent construct validation."
MuLD Character Type,designed_cases,primary,yes,https://aclanthology.org/2022.lrec-1.392/,"Section 3, especially Movie Character Types","Existing tasks are filtered, expanded, or recreated so every input exceeds the specified long-document threshold."
MuLD Character Type,designed_pairs,primary,not_found,https://aclanthology.org/2022.lrec-1.392/,"Section 3, especially Movie Character Types",The reviewed sources do not include controlled input pairs with a prespecified expected response.
MuLD Character Type,dependability,primary,partial,https://aclanthology.org/2022.lrec-1.392/,"Section 3, especially Movie Character Types","Several model and context-length conditions are compared, but intervals and run-to-run variation are not reported."
MuLD Character Type,governance,primary,partial,https://aclanthology.org/2022.lrec-1.392/,"Section 3, especially Movie Character Types","Data and code are released and source datasets are cited, but the combined benchmark's permissions are not consolidated."
MuLD Character Type,duplicates,primary,partial,https://aclanthology.org/2022.lrec-1.392/,"Section 3, especially Movie Character Types","Scripts and summaries are matched and manually checked, but related movies, franchises, or duplicated text are not assessed."
ThreatGram101,claim_population,primary,partial,https://kamalravi.com/assets/pdf/2024_SIMBig.pdf,Sections 3--6 and Ethical Considerations,The source covers selected public Telegram channels; the paper explicitly notes limited representation of Telegram communities.
ThreatGram101,claim_construct,primary,yes,https://kamalravi.com/assets/pdf/2024_SIMBig.pdf,Sections 3--6 and Ethical Considerations,Three threat levels are defined with criminology and social-science expertise.
ThreatGram101,claim_use,primary,yes,https://kamalravi.com/assets/pdf/2024_SIMBig.pdf,Sections 3--6 and Ethical Considerations,"The dataset is intended for threat monitoring, classifier comparison, and research on extremism and abuse."
ThreatGram101,claim_metric,primary,partial,https://kamalravi.com/assets/pdf/2024_SIMBig.pdf,Sections 3--6 and Ethical Considerations,"Weighted F1 is used with a balanced labeled set, but no decision costs or operating threshold are justified."
ThreatGram101,coverage_frame,primary,yes,https://kamalravi.com/assets/pdf/2024_SIMBig.pdf,Sections 3--6 and Ethical Considerations,"Channel identification, follower threshold, public access, collection history, exclusions, and final counts are documented."
ThreatGram101,coverage_blueprint,primary,partial,https://kamalravi.com/assets/pdf/2024_SIMBig.pdf,Sections 3--6 and Ethical Considerations,"The three-category taxonomy structures labels, but channel, ideology, time, and language coverage requirements are not fixed."
ThreatGram101,labels_process,primary,yes,https://kamalravi.com/assets/pdf/2024_SIMBig.pdf,Sections 3--6 and Ethical Considerations,One trained graduate annotator labels a selected subset using an expert-developed framework and Doccano.
ThreatGram101,labels_reliability,primary,no,https://kamalravi.com/assets/pdf/2024_SIMBig.pdf,Sections 3--6 and Ethical Considerations,The paper explicitly reports that inter-annotator agreement was unavailable because one annotator performed the coding.
ThreatGram101,labels_validity,primary,partial,https://kamalravi.com/assets/pdf/2024_SIMBig.pdf,Sections 3--6 and Ethical Considerations,"Expert consultation and explicit definitions support content validity, while the paper acknowledges political subjectivity and bias."
ThreatGram101,designed_cases,primary,partial,https://kamalravi.com/assets/pdf/2024_SIMBig.pdf,Sections 3--6 and Ethical Considerations,"The labeled set is balanced across three threat levels, but the selection does not implement a broader content blueprint."
ThreatGram101,designed_pairs,primary,not_found,https://kamalravi.com/assets/pdf/2024_SIMBig.pdf,Sections 3--6 and Ethical Considerations,The reviewed sources do not include controlled input pairs with a prespecified expected response.
ThreatGram101,dependability,primary,not_found,https://kamalravi.com/assets/pdf/2024_SIMBig.pdf,Sections 3--6 and Ethical Considerations,"The reviewed sources do not quantify score variation across relevant samples, tasks, raters, runs, or settings."
ThreatGram101,governance,primary,yes,https://kamalravi.com/assets/pdf/2024_SIMBig.pdf,Sections 3--6 and Ethical Considerations,"The paper reports public-channel collection, exclusion of private content and PII, IRB review, ethics, and public release."
ThreatGram101,duplicates,primary,not_found,https://kamalravi.com/assets/pdf/2024_SIMBig.pdf,Sections 3--6 and Ethical Considerations,"The reviewed sources do not report a duplicate, related-entity, or train--test dependence audit."
IMDB,claim_population,primary,partial,https://aclanthology.org/P11-1015/,Sections 4.1 and 4.3.2,"The paper defines a collected review set with per-movie caps, but not a population to which balanced accuracy generalizes."
IMDB,claim_construct,primary,yes,https://aclanthology.org/P11-1015/,Sections 4.1 and 4.3.2,Positive and negative sentiment are operationalized with IMDB star ratings of at least 7 and at most 4.
IMDB,claim_use,primary,yes,https://aclanthology.org/P11-1015/,Sections 4.1 and 4.3.2,The dataset is released as a benchmark for document-level sentiment polarity classification.
IMDB,claim_metric,primary,not_found,https://aclanthology.org/P11-1015/,Sections 4.1 and 4.3.2,"The reviewed sources report a metric without linking it to the intended use, class distribution, or error costs."
IMDB,coverage_frame,primary,yes,https://aclanthology.org/P11-1015/,Sections 4.1 and 4.3.2,"The source, 30-review cap, exclusion of neutral ratings, class balance, and train/test sizes are documented."
IMDB,coverage_blueprint,primary,partial,https://aclanthology.org/P11-1015/,Sections 4.1 and 4.3.2,"Polarity balance and movie separation are controlled, but genre, time, reviewer, and difficulty coverage are not specified."
IMDB,labels_process,primary,yes,https://aclanthology.org/P11-1015/,Sections 4.1 and 4.3.2,Labels are deterministically derived from user star ratings with stated thresholds.
IMDB,labels_reliability,primary,not_found,https://aclanthology.org/P11-1015/,Sections 4.1 and 4.3.2,The reviewed sources do not report label repeatability or inter-rater agreement.
IMDB,labels_validity,primary,partial,https://aclanthology.org/P11-1015/,Sections 4.1 and 4.3.2,"Extreme ratings plausibly indicate polarity, but agreement with independent sentiment judgments is not tested."
IMDB,designed_cases,primary,partial,https://aclanthology.org/P11-1015/,Sections 4.1 and 4.3.2,"The set deliberately balances extreme ratings and separates movies, but contains no named capability blueprint."
IMDB,designed_pairs,primary,not_found,https://aclanthology.org/P11-1015/,Sections 4.1 and 4.3.2,The reviewed sources do not include controlled input pairs with a prespecified expected response.
IMDB,dependability,primary,partial,https://aclanthology.org/P11-1015/,Sections 4.1 and 4.3.2,The paper discusses test-set size and estimate variance but does not report intervals or resampling across review samples.
IMDB,governance,primary,partial,https://aclanthology.org/P11-1015/,Sections 4.1 and 4.3.2,"The source and public release are stated, but review permission, privacy, and dataset license are not fully documented."
IMDB,duplicates,primary,yes,https://aclanthology.org/P11-1015/,Sections 4.1 and 4.3.2,The benchmark caps reviews per movie and uses disjoint movie sets for training and testing.
CLAUDETTE Terms of Service,claim_population,primary,partial,https://doi.org/10.1007/s10506-019-09243-2,"Sections 2--5, especially Corpus annotation",Fifty major platforms are selected purposively and listed; the resulting score is not tied to all online contracts.
CLAUDETTE Terms of Service,claim_construct,primary,yes,https://doi.org/10.1007/s10506-019-09243-2,"Sections 2--5, especially Corpus annotation",Eight potentially unfair clause types and three fairness levels are defined using European consumer law and examples.
CLAUDETTE Terms of Service,claim_use,primary,yes,https://doi.org/10.1007/s10506-019-09243-2,"Sections 2--5, especially Corpus annotation","The classifier is intended to assist consumers, lawyers, and consumer-protection organizations."
CLAUDETTE Terms of Service,claim_metric,primary,partial,https://doi.org/10.1007/s10506-019-09243-2,"Sections 2--5, especially Corpus annotation","Precision, recall, and F1 are reported for an imbalanced detection task, but deployment error costs are not fixed."
CLAUDETTE Terms of Service,coverage_frame,primary,yes,https://doi.org/10.1007/s10506-019-09243-2,"Sections 2--5, especially Corpus annotation","Selection criteria, platforms, jurisdictions, contract versions, corpus counts, and the additional test set are documented."
