frame_order,benchmark_name,canonical_family,pwc_url,leaderboard_rows,archive_languages,frame_status,exclusion_reason,activity_stratum,draw_order,selected,selection_probability,sample_weight,source_snapshot
18,R8,,https://paperswithcode.com/sota/text-classification-on-r8,21,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
19,SILICONE Benchmark,SILICONE,https://paperswithcode.com/sota/text-classification-on-silicone-benchmark,1,English,eligible,,low,5,no,0.444444,2.250000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
20,arXiv-10,arXiv-10,https://paperswithcode.com/sota/text-classification-on-arxiv-10,4,English,eligible,,middle,6,no,0.444444,2.250000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
21,Searchsnippets,,https://paperswithcode.com/sota/text-classification-on-searchsnippets,2,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
22,SST-2,,https://paperswithcode.com/sota/text-classification-on-sst-2,2,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
23,emotion,,https://paperswithcode.com/sota/text-classification-on-emotion,0,English,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
24,FMC-MWO2KG,FMC-MWO2KG,https://paperswithcode.com/sota/text-classification-on-fmc-mwo2kg-1,1,English,eligible,,low,8,no,0.444444,2.250000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
25,trec,,https://paperswithcode.com/sota/text-classification-on-trec-1,0,,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
26,DBpedia,DBpedia,https://paperswithcode.com/sota/text-classification-on-dbpedia,21,English,eligible,,high,4,yes,0.571429,1.750000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
27,ag_news,,https://paperswithcode.com/sota/text-classification-on-ag-news-1,0,English,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
28,20 Newsgroups,20 Newsgroups,https://paperswithcode.com/sota/text-classification-on-20-newsgroups,1,English,eligible,,low,7,no,0.444444,2.250000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
29,amazon_polarity,,https://paperswithcode.com/sota/text-classification-on-amazon-polarity,0,,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
30,TREC-50,,https://paperswithcode.com/sota/text-classification-on-trec-50,2,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
31,NICE-2,,https://paperswithcode.com/sota/text-classification-on-nice-2,1,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
32,Arxiv HEP-TH citation graph,,https://paperswithcode.com/sota/text-classification-on-arxiv,1,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
33,An Amharic News Text classification Dataset,,https://paperswithcode.com/sota/text-classification-on-an-amharic-news-text,2,Amharic,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
34,GLUE QQP,,https://paperswithcode.com/sota/text-classification-on-glue-qqp,0,English,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
35,GLUE SST2,SST-2,https://paperswithcode.com/sota/text-classification-on-glue-sst2,2,English,eligible,,middle,5,no,0.444444,2.250000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
36,GLUE STSB,,https://paperswithcode.com/sota/text-classification-on-glue-stsb,1,English,excluded,regression task,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
37,MR,,https://paperswithcode.com/sota/text-classification-on-mr,10,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
38,Twitter Sentiment Analysis,,https://paperswithcode.com/sota/text-classification-on-twitter-sentiment-1,1,English,excluded,canonical Twitter dataset or evaluation protocol could not be identified,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
39,yelp_polarity,,https://paperswithcode.com/sota/text-classification-on-yelp-polarity,0,,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
40,TRAC2-Benghali. Task 2.,,https://paperswithcode.com/sota/text-classification-on-trac2-benghali-task-2,1,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
41,GLUE MNLI,,https://paperswithcode.com/sota/text-classification-on-glue-mnli,0,English,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
42,20NEWS,,https://paperswithcode.com/sota/text-classification-on-20news,16,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
43,Amazon-5,,https://paperswithcode.com/sota/text-classification-on-amazon-5,3,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
44,Terms of Service,CLAUDETTE Terms of Service,https://paperswithcode.com/sota/text-classification-on-terms-of-service,3,English,eligible,,middle,4,yes,0.444444,2.250000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
45,TREC-10,TREC question classification,https://paperswithcode.com/sota/text-classification-on-trec-10,1,English,eligible,,low,6,no,0.444444,2.250000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
46,Bala-Copa,,https://paperswithcode.com/sota/text-classification-on-bala-copa,3,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
47,MTEB,,https://paperswithcode.com/sota/text-classification-on-mteb,31,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
48,STOPS-41,,https://paperswithcode.com/sota/text-classification-on-stops-41,1,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
49,This is not a Dataset,This is not a Dataset,https://paperswithcode.com/sota/text-classification-on-this-is-not-a-dataset,2,English,eligible,,middle,7,no,0.444444,2.250000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
50,Lot-insts,LoT-insts,https://paperswithcode.com/sota/text-classification-on-lot-insts,5,English,eligible,,high,2,yes,0.571429,1.750000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
51,RusAge: Corpus for Age-Based Text Classification,,https://paperswithcode.com/sota/text-classification-on-rusage-corpus-for-age,1,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
52,AG News,AG News,https://paperswithcode.com/sota/text-classification-on-ag-news,24,English,eligible,,high,3,yes,0.571429,1.750000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
53,Patents,,https://paperswithcode.com/sota/text-classification-on-patents,1,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
54,ade_corpus_v2Ade_corpus_v2_classification,,https://paperswithcode.com/sota/text-classification-on-ade-corpus-v2ade,0,,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
55,GLUE RTE,RTE (GLUE),https://paperswithcode.com/sota/text-classification-on-glue-rte,1,English,eligible,,low,4,yes,0.444444,2.250000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
56,GLUE MRPC,MRPC (GLUE),https://paperswithcode.com/sota/text-classification-on-glue-mrpc,1,English,eligible,,low,2,yes,0.444444,2.250000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
57,hate_speech18,,https://paperswithcode.com/sota/text-classification-on-hate-speech18,0,English|Chinese,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
58,KLUE,,https://paperswithcode.com/sota/text-classification-on-klue,0,Korean,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
59,Yahoo! Answers,Yahoo! Answers,https://paperswithcode.com/sota/text-classification-on-yahoo-answers,10,English,eligible,,high,6,no,0.571429,1.750000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
60,Yelp-2,,https://paperswithcode.com/sota/text-classification-on-yelp-2,5,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
61,clinc_oos,,https://paperswithcode.com/sota/text-classification-on-clinc-oos,0,,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
62,NICE-45,,https://paperswithcode.com/sota/text-classification-on-nice-45,1,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
63,Twitter,,https://paperswithcode.com/sota/text-classification-on-twitter,3,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
64,IMDb,,https://paperswithcode.com/sota/text-classification-on-imdb,13,English,excluded,duplicate IMDB leaderboard,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
65,GLUE WNLI,,https://paperswithcode.com/sota/text-classification-on-glue-wnli,0,English,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
66,amazon_reviews_multi,,https://paperswithcode.com/sota/text-classification-on-amazon-reviews-multi,0,,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
67,Facebook Media,,https://paperswithcode.com/sota/text-classification-on-facebook-media,1,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
68,AffCon 2020 Emotion Detection,,https://paperswithcode.com/sota/text-classification-on-affcon-2020-emotion,1,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
69,indonlu,,https://paperswithcode.com/sota/text-classification-on-indonlu,0,,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
70,UK Key Stage Readability,UK Key Stage Readability,https://paperswithcode.com/sota/text-classification-on-uk-key-stage,15,English,eligible,,high,7,no,0.571429,1.750000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
71,ThreatGram 101 - Extreme Telegram Data,ThreatGram101,https://paperswithcode.com/sota/text-classification-on-threatgram-101-extreme,4,English,eligible,,middle,2,yes,0.444444,2.250000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
72,GLUE COLA,CoLA (GLUE),https://paperswithcode.com/sota/text-classification-on-glue-cola,1,English,eligible,,low,9,no,0.444444,2.250000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
73,yahoo_answers_topics,,https://paperswithcode.com/sota/text-classification-on-yahoo-answers-topics,0,,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
74,WeeBit (Readability Assessment),,https://paperswithcode.com/sota/text-classification-on-weebit-readability,5,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
75,WNUT-2020 Task 2,,https://paperswithcode.com/sota/text-classification-on-wnut-2020-task-2,1,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
76,HateXplain,,https://paperswithcode.com/sota/text-classification-on-hatexplain-1,4,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
77,Overruling,Overruling,https://paperswithcode.com/sota/text-classification-on-overruling,3,English,eligible,,middle,9,no,0.444444,2.250000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
78,MNIST,,https://paperswithcode.com/sota/text-classification-on-mnist,0,English,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
79,Amazon-2,,https://paperswithcode.com/sota/text-classification-on-amazon-2,4,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
80,STOPS-2,,https://paperswithcode.com/sota/text-classification-on-stops-2,1,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
81,tweet_eval,,https://paperswithcode.com/sota/text-classification-on-tweet-eval,0,English,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
82,NSFW-Safe-Dataset,,https://paperswithcode.com/sota/text-classification-on-nsfw-safe-dataset,0,,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
83,Twitter-US,,https://paperswithcode.com/sota/text-classification-on-twitter-us,1,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
84,RCV1,,https://paperswithcode.com/sota/text-classification-on-rcv1,4,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
85,Turkish Toxic Language Dataset,,https://paperswithcode.com/sota/text-classification-on-turkish-toxic-language,0,,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
86,catalonia_independence,,https://paperswithcode.com/sota/text-classification-on-catalonia-independence,0,,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
87,OneStopEnglish (Readability Assessment),,https://paperswithcode.com/sota/text-classification-on-onestopenglish,5,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
88,MuLD (Character Type),MuLD Character Type,https://paperswithcode.com/sota/text-classification-on-muld-character-type,2,English,eligible,,middle,1,yes,0.444444,2.250000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
89,sai1908/Mental_Health_Condition_Classification,,https://paperswithcode.com/sota/text-classification-on-sai1908-mental-health,0,,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
90,financial_phrasebank,,https://paperswithcode.com/sota/text-classification-on-financial-phrasebank,0,,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
91,SST2,,https://paperswithcode.com/sota/text-classification-on-sst2,0,,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
92,SVICTOR (type),,https://paperswithcode.com/sota/text-classification-on-svictor-type,5,,excluded,English input language not verified by the linked archive record,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
93,GLUE,,https://paperswithcode.com/sota/text-classification-on-glue,0,English,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
94,tecla,,https://paperswithcode.com/sota/text-classification-on-tecla,0,,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
95,twitter-financial-news-topic,,https://paperswithcode.com/sota/text-classification-on-twitter-financial-news,0,,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
96,BANKING77,BANKING77,https://paperswithcode.com/sota/text-classification-on-banking77,1,English,eligible,,low,1,yes,0.444444,2.250000,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
97,reuters21578,,https://paperswithcode.com/sota/text-classification-on-reuters21578,0,,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
98,common_language,,https://paperswithcode.com/sota/text-classification-on-common-language,0,,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
99,Wiki Labeled Articles,,https://paperswithcode.com/sota/text-classification-on-wiki-labeled-articles,0,,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
100,BoolQ,,https://paperswithcode.com/sota/text-classification-on-boolq,0,English,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
101,lenu,,https://paperswithcode.com/sota/text-classification-on-lenu,0,,excluded,no reported leaderboard result in the frozen snapshot,,,no,,,pwc-archive/evaluation-tables@7dd607a42427a2c27fcedc689a7415df58788c50
